ID,CTR_SRR23389308,CTR_SRR23389309,CTR_SRR23389310,CTR_SRR23389311,CTR_SRR23389312,CTR_SRR23389313,CTR_SRR23389314,CTR_SRR23389315,CTR_SRR23389316,CTR_SRR23389317,CTR_SRR23389319,CTR_SRR23389320,CTR_SRR23389321,CTR_SRR23389322,CTR_SRR23389323,CTR_SRR23389324,CTR_SRR23389325,CTR_SRR23389326,CTR_SRR23389327,CTR_SRR23389328,CTR_SRR23389331,CTR_SRR23389332,CTR_SRR23389333,CTR_SRR23389334,CTR_SRR23389335,CTR_SRR23389336,CTR_SRR23389337,CTR_SRR23389339,CTR_SRR23389340,CTR_SRR23389341,CTR_SRR23389330,CTR_SRR23389342,CTR_SRR23389343,CTR_SRR23389344,CTR_SRR23389345,CTR_SRR23389346,CTR_SRR23389347,CTR_SRR23389348,CTR_SRR23389350,CTR_SRR23389262,CTR_SRR23389263,CTR_SRR23389264,CTR_SRR23389265,CTR_SRR23389266,CTR_SRR23389267,CTR_SRR23389268,CTR_SRR23389269,CTR_SRR23389270,CTR_SRR23389272,CTR_SRR23389273,CTR_SRR23389274,CTR_SRR23389275,CTR_SRR23389276,CTR_SRR23389277,CTR_SRR23389278,CTR_SRR23389279,CTR_SRR23389280,CTR_SRR23389281,CTR_SRR23389283,CTR_SRR23389284,CTR_SRR23389285,CTR_SRR23389291,CTR_SRR23389292,CTR_SRR23389293,CTR_SRR23389294,CTR_SRR23389295,CTR_SRR23389297,CTR_SRR23389298,CTR_SRR23389299,CTR_SRR23389300,CTR_SRR23389301,CTR_SRR23389302,CTR_SRR23389303,CTR_SRR23389304,CTR_SRR23389305,CTR_SRR23389306,CTR_A_461K_BV0D0,CTR_A_464S_WV0D0,CTR_A_466Y_YV0D0,CTR_A_564P_MV0D0,CTR_A_565K_UV0D0,CTR_A_661R_BV0D0,CTR_A_662W_TV0D0,CTR_A_665S_JV0D0,CTR_A_666J_PV0D0,CTR_A_465N_LV0D0
Acidaminococcus_fermentans_DSM_20731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028256,0,0,0,0,0,0,0.0012856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidaminococcus_intestini_RyC_MR95,0,0,0,0,0,0,0,0.0029699,0,0.0023345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0071172,0,0,0,0.0077943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidaminococcus_sp_D21,0,0,0,0,0,0,0,0.0025522,0,0.0020441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0063437,0,0,0,0.0065603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces_odontolyticus_ATCC_17982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020598,0,0,0.0017043,0,0,0.0011915,0,0,0,0,0,0,0,0,0,0.0012017,0,0.0011018,0.0037287,0,0,0,0,0,0,0.0020051,0.0010987,0,0,0,0.0045048,0.0017466,0,0.0010382,0,0,0,0,0,0
Actinomyces_oris_K20,0.0060392,0.0090576,0.0043429,0.009277,0.020962,0.010522,0.0035626,0.0086071,0.023715,0.021643,0.0075126,0.013969,0.0033496,0.0039026,0.0099286,0.010057,0.022186,0.014604,0.0051747,0.0091966,0.0025995,0.021069,0.0062277,0.0037271,0.0091276,0.009948,0.0081271,0.0037538,0,0.01396,0.013663,0.0055587,0.013805,0.0034009,0.0092597,0.007499,0.0097449,0.04025,0.0079599,0.0041344,0.011981,0.0076607,0.024283,0.0038219,0.0064066,0,0.02191,0.016292,0,0.014087,0.0025773,0.013395,0.020908,0.031722,0.015961,0.0060249,0.0044786,0.022034,0.0054193,0.004006,0.0062518,0.0031437,0.0039609,0.0054575,0.0031994,0.0056588,0.0030807,0.011269,0.025163,0.0040272,0.0018599,0.0088514,0.0030014,0.014724,0.0027217,0.0047872,0.0025683,0.0017312,0.0080025,0.0037828,0.0020785,0.012562,0.0045803,0.0050391,0.0047578,0.0040146
Adlercreutzia_equolifaciens_DSM_19450,0,0,0,0,0,0,0,0,0,0,0.0018778,0,0,0,0.0011126,0,0,0.001212,0,0,0,0.001266,0,0,0.0010754,0.002584,0.0016032,0,0,0,0,0,0.0012183,0,0,0.0017783,0,0,0.0012772,0,0,0.0033092,0,0.0017044,0,0,0.0010165,0,0,0.0016738,0,0.0022675,0.0015543,0.0014652,0,0,0,0,0,0.0014823,0.0042134,0,0,0,0,0,0,0.0014782,0.0021833,0.0037428,0,0,0,0.0050797,0,0,0,0,0,0,0,0,0,0,0,0
Aeromonas_caviae_Ae398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeromonas_hydrophila_subsp_hydrophila_ATCC_7966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeromonas_veronii_B565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akkermansia_muciniphila_ATCC_BAA_835,0,0.0011715,0,0,0,0.012878,0.024999,0.013368,0,0,0.0041433,0.0010955,0,0,0.0024696,0.0015872,0.004541,0,0,0.0028317,0,0,0,0.0084207,0,0.010398,0,0,0.03764,0,0,0,0,0,0,0,0.0020644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041363,0,0.0021898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026175,0,0,0,0,0,0,0,0.0020265,0,0.029558,0.0033229,0
