,Placebo_A_461K_BV3D21,Placebo_A_466Y_YV3D21,Placebo_A_564P_MV3D21,Placebo_A_661R_BV3D21,Placebo_A_665S_JV3D21
Bacillus_timonensis_JC401_ac,3.475,9.744,0.8664,15.9344,6.3754
Bacillus_timonensis_JC401_but,1.7375,4.872,0.4332,7.9672,3.1877
Bacillus_timonensis_JC401_gal,1.8375,4.972,0.5332,5.1874,2.4145
Bacillus_timonensis_JC401_melib,0.1,0.1,0.1,0.1,0.1
Bacillus_timonensis_JC401_ppa,3.475,9.744,0.8664,15.9344,6.3754
Bacteroides_pectinophilus_ATCC_43243_ac,1.13,1.0577,0,5.7314,1.268
Bacteroides_pectinophilus_ATCC_43243_ppa,0.56504,0.52888,0,2.8659,0.63404
Bifidobacterium_adolescentis_ATCC_15703_ac,96.7939,0,183.7565,33.3907,0
Bifidobacterium_adolescentis_ATCC_15703_but,24.1779,0,26.0694,8.3406,0
Bifidobacterium_adolescentis_ATCC_15703_gal,5.0928,0,5.1,5.0874,0
Bifidobacterium_adolescentis_ATCC_15703_mantr,0,0,0,0,0
Bifidobacterium_adolescentis_ATCC_15703_melib,0.1,0,0.1,0.1,0
Bifidobacterium_bifidum_BGN4_ac,6.4302,0,5.9317,0,0
Bifidobacterium_bifidum_BGN4_gal,6.4306,0,5.932,0,0
Bifidobacterium_bifidum_BGN4_mantr,0,0,0,0,0
Bifidobacterium_bifidum_NCIMB_41171_ac,7.1022,0,2.2506,0,0
Bifidobacterium_bifidum_NCIMB_41171_gal,7.1022,0,2.2506,0,0
Bifidobacterium_bifidum_NCIMB_41171_mantr,0,0,0,0,0
Bifidobacterium_bifidum_PRL2010_ac,6.4616,0,2.2489,0,0
Bifidobacterium_bifidum_PRL2010_gal,6.462,0,2.249,0,0
Bifidobacterium_bifidum_PRL2010_mantr,0,0,0,0,0
Bifidobacterium_bifidum_PRL2010_melib,0.1,0,0.1,0,0
Bifidobacterium_bifidum_S17_ac,7.2939,0,2.0073,0,0
Bifidobacterium_bifidum_S17_gal,7.2944,0,2.0074,0,0
Bifidobacterium_bifidum_S17_mantr,0,0,0,0,0
Bifidobacterium_breve_HPH0326_ac,2.698,0,0.83851,0,0
Bifidobacterium_breve_HPH0326_gal,1.4491,0,0.51928,0,0
Bifidobacterium_breve_HPH0326_mantr,0,0,0,0,0
Bifidobacterium_breve_HPH0326_melib,0.1,0,0.1,0,0
Bifidobacterium_breve_UCC2003_NCIMB8807_ac,1.7738,0,0,0,0
Bifidobacterium_breve_UCC2003_NCIMB8807_gal,1.7739,0,0,0,0
Bifidobacterium_breve_UCC2003_NCIMB8807_mantr,0,0,0,0,0
Bifidobacterium_breve_UCC2003_NCIMB8807_melib,0.1,0,0,0,0
Bifidobacterium_catenulatum_DSM_16992_ac,5.8672,0,10.1536,0,0
Bifidobacterium_catenulatum_DSM_16992_gal,2.9336,0,5.0768,0,0
Bifidobacterium_catenulatum_DSM_16992_mantr,0,0,0,0,0
Bifidobacterium_catenulatum_DSM_16992_melib,0.1,0,0.1,0,0
Bifidobacterium_longum_DJO10A_ac,14.5111,0,8.2507,0,0
Bifidobacterium_longum_DJO10A_gal,5.0928,0,4.1256,0,0
Bifidobacterium_longum_DJO10A_mantr,0,0,0,0,0
Bifidobacterium_longum_E18_ac,14.1055,0,9.4658,0,0
Bifidobacterium_longum_E18_gal,5.0928,0,4.7332,0,0
Bifidobacterium_longum_E18_mantr,0,0,0,0,0
Bifidobacterium_longum_NCC2705_ac,15.3048,0,8.56,0,0
Bifidobacterium_longum_NCC2705_gal,5.0928,0,4.28,0,0
Bifidobacterium_longum_NCC2705_mantr,0,0,0,0,0
Bifidobacterium_longum_NCC2705_melib,0.1,0,0.1,0,0
Bifidobacterium_longum_infantis_157F_NC_ac,15.468,0,9.3256,1.0546,0
Bifidobacterium_longum_infantis_157F_NC_gal,5.1928,0,4.7628,0.62728,0
Bifidobacterium_longum_infantis_157F_NC_mantr,0,0,0,0,0
Bifidobacterium_longum_infantis_157F_NC_melib,0.1,0,0.1,0.1,0
Bifidobacterium_longum_infantis_ATCC_15697_ac,3.04,0,1.7101,0,0
Bifidobacterium_longum_infantis_ATCC_15697_gal,3.04,0,1.7101,0,0
Bifidobacterium_longum_infantis_ATCC_15697_mantr,0,0,0,0,0
Bifidobacterium_longum_infantis_ATCC_15697_melib,0.1,0,0.1,0,0
Bifidobacterium_longum_longum_ATCC_55813_ac,18.9928,0,10.852,1.1704,0
Bifidobacterium_longum_longum_ATCC_55813_gal,5.1928,0,5.2,0.6852,0
Bifidobacterium_longum_longum_ATCC_55813_mantr,0,0,0,0,0
Bifidobacterium_longum_longum_ATCC_55813_melib,0.1,0,0.1,0.1,0
Bifidobacterium_longum_longum_BBMN68_ac,18.706,0,10.3993,1.4589,0
Bifidobacterium_longum_longum_BBMN68_gal,5.1928,0,5.2,0.82948,0
Bifidobacterium_longum_longum_BBMN68_mantr,0,0,0,0,0
Bifidobacterium_longum_longum_BBMN68_melib,0.1,0,0.1,0.1,0
Bifidobacterium_longum_longum_CCUG_52486_ac,16.1816,0,8.9624,0,0
Bifidobacterium_longum_longum_CCUG_52486_gal,5.1928,0,4.5812,0,0
Bifidobacterium_longum_longum_CCUG_52486_mantr,0,0,0,0,0
Bifidobacterium_longum_longum_CCUG_52486_melib,0.1,0,0.1,0,0
Bifidobacterium_longum_longum_JCM_1217_ac,14.4583,0,8.8642,0.80667,0
Bifidobacterium_longum_longum_JCM_1217_gal,5.1928,0,4.5324,0.50336,0
Bifidobacterium_longum_longum_JCM_1217_mantr,0,0,0,0,0
Bifidobacterium_longum_longum_JCM_1217_melib,0.1,0,0.1,0.1,0
Bifidobacterium_longum_longum_JDM301_ac,7.4822,0,3.7394,0,0
Bifidobacterium_longum_longum_JDM301_gal,3.8413,0,1.9698,0,0
Bifidobacterium_longum_longum_JDM301_mantr,0,0,0,0,0
Bifidobacterium_longum_longum_JDM301_melib,0.1,0,0.1,0,0
Bifidobacterium_pseudocatenulatum_DSM_20438_ac,11.1624,0,40.2104,0,0
Bifidobacterium_pseudocatenulatum_DSM_20438_gal,5.0928,0,5.1,0,0
Bifidobacterium_pseudocatenulatum_DSM_20438_mantr,0,0,0,0,0
Bifidobacterium_pseudocatenulatum_DSM_20438_melib,0.1,0,0.1,0,0
Bifidobacterium_ruminantium_DSM_6489_ac,5.1911,0,0,0,0
Bifidobacterium_ruminantium_DSM_6489_gal,2.5957,0,0,0,0
Bifidobacterium_ruminantium_DSM_6489_melib,0.1,0,0,0,0
Bifidobacterium_ruminantium_DSM_6489_ppa,2.5957,0,0,0,0
Bilophila_wadsworthia_3_1_6_ac,1.1474,0,0,0,0
Blautia_hansenii_VPI_C7_24_DSM_20583_ac,1.1349,0.87552,0,2.9948,0
Blautia_hansenii_VPI_C7_24_DSM_20583_gal,0.56744,0.43776,0,1.4974,0
Blautia_hansenii_VPI_C7_24_DSM_20583_mantr,0,0,0,0,0
Blautia_hansenii_VPI_C7_24_DSM_20583_melib,0.1,0.1,0,0.1,0
Butyrivibrio_crossotus_DSM_2876_ac,1.3225,0,0,3.3862,0
Butyrivibrio_crossotus_DSM_2876_but,1.3225,0,0,3.3862,0
Butyrivibrio_crossotus_DSM_2876_gal,0.21243,0,0,0.51687,0
Clostridium_leptum_DSM_753_ac,5.9227,1.7716,0,2.6317,0
Clostridium_leptum_DSM_753_gal,0,0,0,0,0
Clostridium_nexile_DSM_1787_ac,4.244,4.5508,0,3.892,1.4782
Clostridium_nexile_DSM_1787_gal,0,0,0,0,1e-08
Clostridium_nexile_DSM_1787_mantr,0,0,0,0,0
Clostridium_sp_M62_1_ac,0.9768,3.1496,0,4.4186,1.0194
Clostridium_sp_M62_1_but,0.4884,1.5748,0,2.2093,0.50972
Clostridium_sp_M62_1_gal,0,0,0,0,0
Clostridium_sp_M62_1_mantr,0,0,0,0,0
Collinsella_aerofaciens_ATCC_25986_ac,25.4,0,28.9336,11.1608,44.8824
Collinsella_aerofaciens_ATCC_25986_gal,5.0928,0,5.1,5.0874,2.3145
Collinsella_intestinalis_DSM_13280_ac,13.2072,0,0,0,0
Collinsella_intestinalis_DSM_13280_gal,4.7526,0,0,0,0
Collinsella_stercoris_DSM_13279_ac,1.7787,0,0,0,0
Collinsella_stercoris_DSM_13279_gal,0.88936,0,0,0,0
Coprococcus_catus_GD_7_ac,3.5704,1.8504,0,5.089,2.5792
Coprococcus_catus_GD_7_but,3.5704,1.8504,0,5.089,2.5792
Coprococcus_catus_GD_7_ppa,1.7852,0.9252,0,2.5445,1.2896
Corynebacterium_ureicelerivorans_ac,4.4111,0,7.5927,0,0
Corynebacterium_ureicelerivorans_ppa,2.2057,0,3.7966,0,0
Dermacoccus_nishinomiyaensis_ac,138.504,0,252.28,46.404,0
Dermacoccus_nishinomiyaensis_gal,5.0928,0,5.1,5.0874,0
