,Placebo_A_461K_BV3D21,Placebo_A_466Y_YV3D21,Placebo_A_564P_MV3D21,Placebo_A_661R_BV3D21,Placebo_A_665S_JV3D21
Bacillus_timonensis_JC401_ac,-1.7375,-4.872,-0.4332,-7.9672,-3.1877
Bacillus_timonensis_JC401_gal,-0.1,-0.1,-0.1,-0.1,-0.1
Bacillus_timonensis_JC401_ppa,-1.7375,-4.872,-0.4332,-7.9672,-3.1877
Bacteroides_pectinophilus_ATCC_43243_ac,-0.56504,-0.52888,0,-2.8659,-0.63404
Bacteroides_pectinophilus_ATCC_43243_ppa,-0.56504,-0.52888,0,-2.8659,-0.63404
Bifidobacterium_adolescentis_ATCC_15703_ac,-48.4,0,-91.884,-16.6964,0
Bifidobacterium_bifidum_BGN4_ac,-3.2153,0,-2.966,0,0
Bifidobacterium_bifidum_BGN4_gal,-3.2153,0,-2.966,0,0
Bifidobacterium_bifidum_NCIMB_41171_ac,-3.5511,0,-1.1253,0,0
Bifidobacterium_bifidum_NCIMB_41171_gal,-3.5511,0,-1.1253,0,0
Bifidobacterium_bifidum_PRL2010_ac,-3.231,0,-1.1245,0,0
Bifidobacterium_bifidum_PRL2010_gal,-3.231,0,-1.1245,0,0
Bifidobacterium_bifidum_S17_ac,-3.6472,0,-1.0037,0,0
Bifidobacterium_bifidum_S17_gal,-3.6472,0,-1.0037,0,0
Bifidobacterium_breve_HPH0326_ac,-1.3491,0,-0.41928,0,0
Bifidobacterium_breve_HPH0326_gal,-0.1,0,-0.1,0,0
Bifidobacterium_breve_UCC2003_NCIMB8807_ac,-0.88696,0,0,0,0
Bifidobacterium_breve_UCC2003_NCIMB8807_gal,-0.88696,0,0,0,0
Bifidobacterium_catenulatum_DSM_16992_ac,-2.9336,0,-5.0768,0,0
Bifidobacterium_longum_DJO10A_ac,-7.256,0,-4.1256,0,0
Bifidobacterium_longum_E18_ac,-7.0532,0,-4.7332,0,0
Bifidobacterium_longum_NCC2705_ac,-7.6524,0,-4.28,0,0
Bifidobacterium_longum_infantis_157F_NC_ac,-7.734,0,-4.6628,-0.52728,0
Bifidobacterium_longum_infantis_157F_NC_gal,-0.1,0,-0.1,-0.1,0
Bifidobacterium_longum_infantis_ATCC_15697_ac,-1.52,0,-0.85504,0,0
Bifidobacterium_longum_infantis_ATCC_15697_gal,-1.52,0,-0.85504,0,0
Bifidobacterium_longum_longum_ATCC_55813_ac,-9.4964,0,-5.426,-0.5852,0
Bifidobacterium_longum_longum_ATCC_55813_gal,-0.1,0,-0.1,-0.1,0
Bifidobacterium_longum_longum_BBMN68_ac,-9.3536,0,-5.2,-0.72948,0
Bifidobacterium_longum_longum_BBMN68_gal,-0.1,0,-0.1,-0.1,0
Bifidobacterium_longum_longum_CCUG_52486_ac,-8.0908,0,-4.4812,0,0
Bifidobacterium_longum_longum_CCUG_52486_gal,-0.1,0,-0.1,0,0
Bifidobacterium_longum_longum_JCM_1217_ac,-7.2296,0,-4.4324,-0.40336,0
Bifidobacterium_longum_longum_JCM_1217_gal,-0.1,0,-0.1,-0.1,0
Bifidobacterium_longum_longum_JDM301_ac,-3.7413,0,-1.8698,0,0
Bifidobacterium_longum_longum_JDM301_gal,-0.1,0,-0.1,0,0
Bifidobacterium_pseudocatenulatum_DSM_20438_ac,-5.5812,0,-20.1052,0,0
Bifidobacterium_ruminantium_DSM_6489_ac,-2.5957,0,0,0,0
Bifidobacterium_ruminantium_DSM_6489_ppa,-2.5957,0,0,0,0
Bilophila_wadsworthia_3_1_6_ac,-0.57372,0,0,0,0
Blautia_hansenii_VPI_C7_24_DSM_20583_ac,-0.56744,-0.43776,0,-1.4974,0
Butyrivibrio_crossotus_DSM_2876_ac,-0.66124,0,0,-1.6931,0
Butyrivibrio_crossotus_DSM_2876_but,-0.66124,0,0,-1.6931,0
Butyrivibrio_crossotus_DSM_2876_gal,0.00081287,0,0,0.0020814,0
Clostridium_leptum_DSM_753_ac,-3.1654,-0.94684,0,-1.4065,0
Clostridium_nexile_DSM_1787_ac,-2.122,-2.2754,0,-1.946,-0.73908
