,Placebo_A_461K_BV3D21,Placebo_A_466Y_YV3D21,Placebo_A_564P_MV3D21,Placebo_A_661R_BV3D21,Placebo_A_665S_JV3D21
Bacillus_timonensis_JC401_ac,1.7375,4.872,0.4332,7.9672,3.1877
Bacillus_timonensis_JC401_but,1.7375,4.872,0.4332,7.9672,3.1877
Bacillus_timonensis_JC401_gal,1.7375,4.872,0.4332,5.0874,2.3145
Bacillus_timonensis_JC401_melib,0.1,0.1,0.1,0.1,0.1
Bacillus_timonensis_JC401_ppa,1.7375,4.872,0.4332,7.9672,3.1877
Bacteroides_pectinophilus_ATCC_43243_ac,0.56496,0.5288,0,2.8655,0.63395
Bifidobacterium_adolescentis_ATCC_15703_ac,48.3939,0,91.8725,16.6943,0
Bifidobacterium_adolescentis_ATCC_15703_but,24.1779,0,26.0694,8.3406,0
Bifidobacterium_adolescentis_ATCC_15703_gal,5.0928,0,5.1,5.0874,0
Bifidobacterium_adolescentis_ATCC_15703_melib,0.1,0,0.1,0.1,0
Bifidobacterium_bifidum_BGN4_ac,3.2149,0,2.9657,0,0
Bifidobacterium_bifidum_BGN4_gal,3.2153,0,2.966,0,0
Bifidobacterium_bifidum_NCIMB_41171_ac,3.5511,0,1.1253,0,0
Bifidobacterium_bifidum_NCIMB_41171_gal,3.5511,0,1.1253,0,0
Bifidobacterium_bifidum_PRL2010_ac,3.2306,0,1.1244,0,0
Bifidobacterium_bifidum_PRL2010_gal,3.231,0,1.1245,0,0
Bifidobacterium_bifidum_PRL2010_melib,0.1,0,0.1,0,0
Bifidobacterium_bifidum_S17_ac,3.6467,0,1.0036,0,0
Bifidobacterium_bifidum_S17_gal,3.6472,0,1.0037,0,0
Bifidobacterium_breve_HPH0326_ac,1.3489,0,0.41923,0,0
Bifidobacterium_breve_HPH0326_gal,1.3491,0,0.41928,0,0
Bifidobacterium_breve_HPH0326_melib,0.1,0,0.1,0,0
Bifidobacterium_breve_UCC2003_NCIMB8807_ac,0.88685,0,0,0,0
Bifidobacterium_breve_UCC2003_NCIMB8807_gal,0.88696,0,0,0,0
Bifidobacterium_breve_UCC2003_NCIMB8807_melib,0.1,0,0,0,0
Bifidobacterium_catenulatum_DSM_16992_ac,2.9336,0,5.0768,0,0
Bifidobacterium_catenulatum_DSM_16992_gal,2.9336,0,5.0768,0,0
Bifidobacterium_catenulatum_DSM_16992_melib,0.1,0,0.1,0,0
Bifidobacterium_longum_DJO10A_ac,7.2551,0,4.1251,0,0
Bifidobacterium_longum_DJO10A_gal,5.0928,0,4.1256,0,0
Bifidobacterium_longum_E18_ac,7.0523,0,4.7326,0,0
