,prebiotic_A_464S_WV3D21,prebiotic_A_465N_LV3D21,prebiotic_A_565K_UV3D21,prebiotic_A_662W_TV3D21,prebiotic_A_666J_PV3D21
Acidaminococcus_intestini_RyC_MR95_ac,33.996,0,0,1.0232,0
Acidaminococcus_intestini_RyC_MR95_but,16.998,0,0,0.5116,0
Acidaminococcus_sp_D21_ac,33.56,0,0,1.0099,0
Acidaminococcus_sp_D21_but,16.78,0,0,0.50496,0
Actinomyces_odontolyticus_ATCC_17982_ac,1.3508,0,0,1.5537,0
Actinomyces_oris_K20_ac,1.5766,1.2668,2.9736,2.8261,1.2167
Actinomyces_oris_K20_ppa,0.7894,0.63428,1.4889,1.415,0.6092
Anaerostipes_hadrus_DSM_3319_ac,0.87472,0,0,0,0
Anaerostipes_hadrus_DSM_3319_but,0.84595,0,0,0,0
Anaerostipes_hadrus_DSM_3319_gal,0,0,0,0,0
Anaerostipes_hadrus_DSM_3319_melib,0,0,0,0,0
Bacillus_timonensis_JC401_ac,9.4344,2.5186,4.794,6.6278,1.9654
Bacillus_timonensis_JC401_but,4.7172,1.2593,2.397,3.3139,0.98272
Bacillus_timonensis_JC401_gal,7.3715,2.5186,4.794,5.9682,1.9654
Bacillus_timonensis_JC401_melib,2.6543,1.2593,2.397,2.6543,0.98272
Bacillus_timonensis_JC401_ppa,9.4344,2.5186,4.794,6.6278,1.9654
Bifidobacterium_adolescentis_ATCC_15703_ac,14.1823,175.229,72.1195,8.2419,15.607
Bifidobacterium_adolescentis_ATCC_15703_but,3.5426,43.7699,18.0145,2.0587,3.8984
Bifidobacterium_adolescentis_ATCC_15703_gal,7.0916,5.2059,10.1895,4.1212,7.804
Bifidobacterium_adolescentis_ATCC_15703_mantr,2.5543,2.5543,2.5543,2.0606,2.5543
Bifidobacterium_adolescentis_ATCC_15703_melib,2.6543,2.6543,2.6543,2.6543,2.6543
Bifidobacterium_bifidum_BGN4_ac,4.4506,0,1.1903,3.8599,0
Bifidobacterium_bifidum_BGN4_gal,4.4508,0,1.1904,3.8602,0
Bifidobacterium_bifidum_BGN4_mantr,1.1098,0,0.2976,0.96276,0
Bifidobacterium_bifidum_NCIMB_41171_ac,4.2268,0,1.0979,3.308,0
Bifidobacterium_bifidum_NCIMB_41171_gal,4.2268,0,1.0979,3.308,0
Bifidobacterium_bifidum_NCIMB_41171_mantr,1.0567,0,0.27448,0.82698,0
Bifidobacterium_bifidum_PRL2010_ac,3.9876,0,1.0515,2.766,0
Bifidobacterium_bifidum_PRL2010_gal,3.9878,0,1.0516,2.7662,0
Bifidobacterium_bifidum_PRL2010_mantr,0.99457,0,0.2629,0.69039,0
Bifidobacterium_bifidum_PRL2010_melib,1.4434,0,0.38243,1.002,0
Bifidobacterium_bifidum_S17_ac,3.8267,0,1.1257,2.7133,0
Bifidobacterium_bifidum_S17_gal,3.827,0,1.1258,2.7134,0
Bifidobacterium_bifidum_S17_mantr,0.95442,0,0.28144,0.6772,0
Bifidobacterium_catenulatum_DSM_16992_ac,2.5714,0,4.459,0,0
