,prebiotic_A_464S_WV3D21,prebiotic_A_465N_LV3D21,prebiotic_A_565K_UV3D21,prebiotic_A_662W_TV3D21,prebiotic_A_666J_PV3D21
Acidaminococcus_intestini_RyC_MR95_ac,16.998,0,0,0.5116,0
Acidaminococcus_sp_D21_ac,16.78,0,0,0.50496,0
Actinomyces_odontolyticus_ATCC_17982_ac,0.6754,0,0,0.77684,0
Actinomyces_oris_K20_ac,0.7893,0.6342,1.4887,1.4148,0.60912
Anaerostipes_hadrus_DSM_3319_ac,0.43736,0,0,0,0
Anaerostipes_hadrus_DSM_3319_but,0.40859,0,0,0,0
Anaerostipes_hadrus_DSM_3319_gal,0.00033769,0,0,0,0
Bacillus_timonensis_JC401_ac,4.7172,1.2593,2.397,3.3139,0.98272
Bacillus_timonensis_JC401_but,4.7172,1.2593,2.397,3.3139,0.98272
Bacillus_timonensis_JC401_gal,4.7172,1.2593,2.397,3.3139,0.98272
Bacillus_timonensis_JC401_melib,2.6543,1.2593,2.397,2.6543,0.98272
Bacillus_timonensis_JC401_ppa,4.7172,1.2593,2.397,3.3139,0.98272
Bifidobacterium_adolescentis_ATCC_15703_ac,7.0907,87.609,36.0575,4.1207,7.803
Bifidobacterium_adolescentis_ATCC_15703_but,3.5426,43.7699,18.0145,2.0587,3.8984
Bifidobacterium_adolescentis_ATCC_15703_gal,7.0916,5.2059,10.1895,4.1212,7.804
Bifidobacterium_adolescentis_ATCC_15703_mantr,2.5543,2.5543,2.5543,2.0606,2.5543
Bifidobacterium_adolescentis_ATCC_15703_melib,2.6543,2.6543,2.6543,2.6543,2.6543
Bifidobacterium_bifidum_BGN4_ac,2.2252,0,0.59513,1.9298,0
Bifidobacterium_bifidum_BGN4_gal,2.2254,0,0.5952,1.9301,0
Bifidobacterium_bifidum_BGN4_mantr,1.1098,0,0.2976,0.96276,0
Bifidobacterium_bifidum_NCIMB_41171_ac,2.1134,0,0.54896,1.654,0
Bifidobacterium_bifidum_NCIMB_41171_gal,2.1134,0,0.54896,1.654,0
Bifidobacterium_bifidum_NCIMB_41171_mantr,1.0567,0,0.27448,0.82698,0
Bifidobacterium_bifidum_PRL2010_ac,1.9937,0,0.52573,1.3829,0
Bifidobacterium_bifidum_PRL2010_gal,1.9939,0,0.5258,1.3831,0
Bifidobacterium_bifidum_PRL2010_mantr,0.99457,0,0.2629,0.69039,0
Bifidobacterium_bifidum_PRL2010_melib,1.4434,0,0.38243,1.002,0
Bifidobacterium_bifidum_S17_ac,1.9132,0,0.56281,1.3566,0
Bifidobacterium_bifidum_S17_gal,1.9135,0,0.56288,1.3567,0
Bifidobacterium_bifidum_S17_mantr,0.95442,0,0.28144,0.6772,0
Bifidobacterium_catenulatum_DSM_16992_ac,1.2857,0,2.2295,0,0
Bifidobacterium_catenulatum_DSM_16992_gal,1.2857,0,2.2295,0,0
Bifidobacterium_catenulatum_DSM_16992_mantr,0.64284,0,1.1147,0,0
Bifidobacterium_catenulatum_DSM_16992_melib,1.2857,0,2.2295,0,0
Bifidobacterium_longum_DJO10A_ac,0.43515,0.75023,0.73923,1.1325,0.94024
Bifidobacterium_longum_DJO10A_gal,0.4352,0.75032,0.73932,1.1326,0.94036
Bifidobacterium_longum_DJO10A_mantr,0.4352,0.75032,0.73932,1.1326,0.94036
Bifidobacterium_longum_E18_ac,0.42619,0.8095,0.8331,1.4367,0.96396
Bifidobacterium_longum_E18_gal,0.42624,0.8096,0.8332,1.4369,0.96408
Bifidobacterium_longum_E18_mantr,0.42624,0.8096,0.8332,1.4369,0.96408
Bifidobacterium_longum_NCC2705_ac,0.41892,1.2893,0.92988,1.1527,0.88444
Bifidobacterium_longum_NCC2705_gal,0.41892,1.2893,0.92988,1.1527,0.88444
Bifidobacterium_longum_NCC2705_mantr,0.20946,0.64464,0.46494,0.57636,0.44222
Bifidobacterium_longum_NCC2705_melib,0.41892,1.2893,0.92988,1.1527,0.88444
Bifidobacterium_longum_infantis_157F_NC_ac,0.58224,0.932,0.83844,1.4518,1.0132
Bifidobacterium_longum_infantis_157F_NC_gal,0.58224,0.932,0.83844,1.4518,1.0132
Bifidobacterium_longum_infantis_157F_NC_mantr,0.58224,0.932,0.83844,1.4518,1.0132
Bifidobacterium_longum_infantis_157F_NC_melib,0.58224,0.932,0.83844,1.4518,1.0132
Bifidobacterium_longum_longum_ATCC_55813_ac,0.51252,1.0211,1.0535,1.5434,1.1154
Bifidobacterium_longum_longum_ATCC_55813_gal,0.51252,1.0211,1.0535,1.5434,1.1154
Bifidobacterium_longum_longum_ATCC_55813_mantr,0.51252,1.0211,1.0535,1.5434,1.1154
Bifidobacterium_longum_longum_ATCC_55813_melib,0.51252,1.0211,1.0535,1.5434,1.1154
Bifidobacterium_longum_longum_BBMN68_ac,0.46574,0.948,0.85769,1.2644,1.2088
Bifidobacterium_longum_longum_BBMN68_gal,0.4658,0.94812,0.8578,1.2646,1.2089
Bifidobacterium_longum_longum_BBMN68_mantr,0.41104,0.83415,0.75492,1.1118,1.0629
Bifidobacterium_longum_longum_BBMN68_melib,0.4658,0.94812,0.8578,1.2646,1.2089
Bifidobacterium_longum_longum_CCUG_52486_ac,0.40812,0.98048,0.79468,1.204,0.98196
Bifidobacterium_longum_longum_CCUG_52486_gal,0.40812,0.98048,0.79468,1.204,0.98196
Bifidobacterium_longum_longum_CCUG_52486_mantr,0.40812,0.98048,0.79468,1.204,0.98196
Bifidobacterium_longum_longum_CCUG_52486_melib,0.40812,0.98048,0.79468,1.204,0.98196
Bifidobacterium_longum_longum_JCM_1217_ac,0.41147,0.7597,0.87273,1.1447,0.91845
Bifidobacterium_longum_longum_JCM_1217_gal,0.41152,0.7598,0.87284,1.1448,0.91856
Bifidobacterium_longum_longum_JCM_1217_mantr,0.36342,0.66894,0.76811,1.0067,0.80822
Bifidobacterium_longum_longum_JCM_1217_melib,0.41152,0.7598,0.87284,1.1448,0.91856
Bifidobacterium_pseudocatenulatum_DSM_20438_ac,1.1796,0,6.4108,0,0.51908
Bifidobacterium_pseudocatenulatum_DSM_20438_gal,1.1796,0,6.4108,0,0.51908
Bifidobacterium_pseudocatenulatum_DSM_20438_mantr,1.1796,0,2.5543,0,0.51908
Bifidobacterium_pseudocatenulatum_DSM_20438_melib,1.1796,0,2.6543,0,0.51908
Bilophila_wadsworthia_3_1_6_ac,1.2624,0,0,0,1.563
Candidatus_Nitrososphaera_gargensis_Ga9_2_ac,0.29471,0,0,0,0.34518
Clostridium_bolteae_ATCC_BAA_613_ac,3.4657,0,0.40796,0,0
Clostridium_bolteae_ATCC_BAA_613_gal,3.4657,0,0.40796,0,0
Clostridium_bolteae_ATCC_BAA_613_mantr,1.7328,0,0.20398,0,0
Clostridium_clostridioforme_CM201_ac,0.5626,0,0,0,0
Clostridium_clostridioforme_CM201_gal,0.5626,0,0,0,0
Clostridium_clostridioforme_CM201_mantr,0.5626,0,0,0,0
Clostridium_clostridioforme_CM201_melib,0.5626,0,0,0,0
Clostridium_nexile_DSM_1787_ac,0.7534,0.57328,1.4406,1.7799,0.59464
Clostridium_nexile_DSM_1787_gal,0.00092617,0.00070475,0.001771,0.0021881,0.00073101
Clostridium_nexile_DSM_1787_mantr,0.00046309,0.00035237,0.00088551,0.001094,0.0003655
Clostridium_sp_SS2_1_ac,2.8482,5.6664,3.4036,0,0
Clostridium_sp_SS2_1_but,2.8482,5.6664,3.4036,0,0
Collinsella_aerofaciens_ATCC_25986_ac,20.9572,2.79,10.116,30.376,11.3692
Collinsella_aerofaciens_ATCC_25986_gal,10.2073,2.79,10.116,10.2,10.2054
Collinsella_intestinalis_DSM_13280_ac,4.4104,0,0,0.44852,0
Collinsella_intestinalis_DSM_13280_gal,3.1742,0,0,0.32281,0
Collinsella_stercoris_DSM_13279_ac,42.444,0,0,0.55796,0
Collinsella_stercoris_DSM_13279_gal,10.2073,0,0,0.55796,0
Collinsella_tanakaei_YIT_12063_ac,15.7816,0,0,0,0
Collinsella_tanakaei_YIT_12063_gal,10.2073,0,0,0,0
